timestamp,open,high,low,close
2025-04-19 16:00:00,138.73,139.92,138.67,138.85
2025-04-19 20:00:00,138.96,138.96,137.93,138.62
2025-04-20 00:00:00,138.66,139.64,138.53,139.64
2025-04-20 04:00:00,139.69,141.7,139.65,140.82
2025-04-20 08:00:00,140.9,141.41,139.14,139.49
2025-04-20 12:00:00,139.51,139.61,136.21,136.21
2025-04-20 16:00:00,136.25,137.53,136.25,136.27
2025-04-20 20:00:00,135.94,136.97,135.94,136.97
2025-04-21 00:00:00,137.06,138.05,136.63,137.63
2025-04-21 04:00:00,137.75,142.2,137.75,139.56
2025-04-21 08:00:00,139.43,141.3,139.43,140.54
2025-04-21 12:00:00,140.43,140.75,138.73,139.11
2025-04-21 16:00:00,139.07,139.69,137.46,138.18
2025-04-21 20:00:00,138.23,138.47,134.72,136.74
2025-04-22 00:00:00,136.82,136.99,135.71,136.33
2025-04-22 04:00:00,136.4,139.4,135.93,139.35
2025-04-22 08:00:00,139.31,140.25,138.73,140.1
2025-04-22 12:00:00,140.13,140.46,139.17,140.46
2025-04-22 16:00:00,140.4,145.14,140.25,144.48
2025-04-22 20:00:00,145.46,145.91,144.16,144.29
2025-04-23 00:00:00,144.33,149.65,143.72,148.8
2025-04-23 04:00:00,148.83,149.17,147.67,149.17
2025-04-23 08:00:00,149.26,151.72,148.94,151.15
2025-04-23 12:00:00,151.25,152.86,151.18,151.98
2025-04-23 16:00:00,152.06,153.47,149.65,150.99
2025-04-23 20:00:00,151.32,152.11,149.31,149.95
2025-04-24 00:00:00,150.08,151.69,150.03,151.0
2025-04-24 04:00:00,151.14,151.15,148.2,148.2
2025-04-24 08:00:00,148.09,148.76,147.37,147.37
2025-04-24 12:00:00,147.27,147.53,146.0,147.23
2025-04-24 16:00:00,147.49,151.01,147.28,149.82
2025-04-24 20:00:00,149.6,151.96,149.56,151.63
2025-04-25 00:00:00,151.64,152.57,150.57,152.33
2025-04-25 04:00:00,152.38,153.77,151.04,151.74
2025-04-25 08:00:00,151.73,154.21,151.05,154.21
2025-04-25 12:00:00,154.63,154.76,153.16,154.14
2025-04-25 16:00:00,154.39,155.46,152.95,152.95
2025-04-25 20:00:00,153.06,153.06,150.9,151.39
2025-04-26 00:00:00,151.41,152.33,150.48,150.92
2025-04-26 04:00:00,150.94,152.88,150.94,151.43
2025-04-26 08:00:00,151.42,152.11,150.38,151.87
2025-04-26 12:00:00,151.7,151.71,148.27,148.31
